Location_ID,TS,Wind_Speed_kmh,Wind_Dir_deg,Temp_C,Humidity_RH
LOC-DEL-01,2025-01-01 00:00,4.1,338,2.7,84.3
LOC-DEL-01,2025-01-01 01:00,6.9,304,2.0,83.3
LOC-DEL-01,2025-01-01 02:00,4.1,249,2.4,85.7
LOC-DEL-01,2025-01-01 03:00,3.0,244,4.7,71.0
LOC-DEL-01,2025-01-01 04:00,6.2,206,4.5,79.1
LOC-DEL-01,2025-01-01 05:00,9.7,205,10.1,72.8
LOC-DEL-01,2025-01-01 06:00,8.7,286,9.2,70.6
LOC-DEL-01,2025-01-01 07:00,11.0,353,11.2,64.7
LOC-DEL-01,2025-01-01 08:00,14.8,215,14.0,57.2
LOC-DEL-01,2025-01-01 09:00,11.1,278,16.0,49.6
LOC-DEL-01,2025-01-01 10:00,13.8,256,18.0,57.9
LOC-DEL-01,2025-01-01 11:00,12.9,317,15.5,51.9
LOC-DEL-01,2025-01-01 12:00,13.8,252,18.5,46.2
LOC-DEL-01,2025-01-01 13:00,14.3,311,16.7,58.6
LOC-DEL-01,2025-01-01 14:00,11.7,313,15.7,55.5
LOC-DEL-01,2025-01-01 15:00,7.3,216,14.9,58.5
LOC-DEL-01,2025-01-01 16:00,7.9,315,15.2,69.3
LOC-DEL-01,2025-01-01 17:00,7.2,339,12.6,62.9
LOC-DEL-01,2025-01-01 18:00,0.5,306,9.9,77.8
LOC-DEL-01,2025-01-01 19:00,3.9,180,8.1,72.4
LOC-DEL-01,2025-01-01 20:00,5.8,246,5.7,79.3
LOC-DEL-01,2025-01-01 21:00,4.0,284,3.1,78.1
LOC-DEL-01,2025-01-01 22:00,2.2,313,2.3,85.6
LOC-DEL-01,2025-01-01 23:00,1.4,204,2.0,82.9
LOC-DEL-01,2025-01-02 00:00,2.8,259,2.4,86.3
LOC-DEL-01,2025-01-02 01:00,3.1,233,2.0,82.4
LOC-DEL-01,2025-01-02 02:00,8.8,277,2.8,85.0
LOC-DEL-01,2025-01-02 03:00,2.6,268,4.7,80.2
LOC-DEL-01,2025-01-02 04:00,7.6,283,6.1,89.8
LOC-DEL-01,2025-01-02 05:00,11.8,303,7.9,68.0
LOC-DEL-01,2025-01-02 06:00,13.8,206,11.2,65.5
LOC-DEL-01,2025-01-02 07:00,10.3,244,13.0,77.1
LOC-DEL-01,2025-01-02 08:00,10.1,273,14.1,60.0
LOC-DEL-01,2025-01-02 09:00,12.0,339,14.1,61.8
LOC-DEL-01,2025-01-02 10:00,15.6,214,15.8,55.4
LOC-DEL-01,2025-01-02 11:00,10.6,278,18.1,62.0
LOC-DEL-01,2025-01-02 12:00,10.7,210,18.4,58.9
LOC-DEL-01,2025-01-02 13:00,12.7,285,18.5,57.0
LOC-DEL-01,2025-01-02 14:00,11.6,237,15.9,58.2
LOC-DEL-01,2025-01-02 15:00,7.2,299,18.5,61.8
LOC-DEL-01,2025-01-02 16:00,10.3,233,12.5,66.4
LOC-DEL-01,2025-01-02 17:00,8.1,355,13.5,68.2
LOC-DEL-01,2025-01-02 18:00,3.2,233,9.6,66.2
LOC-DEL-01,2025-01-02 19:00,4.3,307,7.8,75.6
LOC-DEL-01,2025-01-02 20:00,2.3,32,6.0,84.8
LOC-DEL-01,2025-01-02 21:00,0.5,291,5.3,76.3
LOC-DEL-01,2025-01-02 22:00,2.9,266,2.7,86.6
LOC-DEL-01,2025-01-02 23:00,1.3,308,2.0,76.9
LOC-DEL-01,2025-01-03 00:00,3.2,287,2.3,78.8
LOC-DEL-01,2025-01-03 01:00,3.9,218,2.0,85.3
LOC-DEL-01,2025-01-03 02:00,7.2,317,3.6,85.8
LOC-DEL-01,2025-01-03 03:00,7.5,293,2.3,75.9
LOC-DEL-01,2025-01-03 04:00,9.1,321,6.8,96.8
LOC-DEL-01,2025-01-03 05:00,8.9,304,9.4,77.1
LOC-DEL-01,2025-01-03 06:00,10.0,273,8.8,68.8
LOC-DEL-01,2025-01-03 07:00,13.6,197,15.5,56.8
LOC-DEL-01,2025-01-03 08:00,13.3,221,13.3,67.9
LOC-DEL-01,2025-01-03 09:00,12.3,279,14.6,62.8
LOC-DEL-01,2025-01-03 10:00,18.3,298,17.0,53.8
LOC-DEL-01,2025-01-03 11:00,12.5,308,14.7,56.4
LOC-DEL-01,2025-01-03 12:00,14.2,308,16.8,54.4
LOC-DEL-01,2025-01-03 13:00,11.3,240,15.9,53.8
LOC-DEL-01,2025-01-03 14:00,8.5,311,19.6,59.0
LOC-DEL-01,2025-01-03 15:00,6.5,248,18.8,64.6
LOC-DEL-01,2025-01-03 16:00,8.9,304,15.9,59.0
LOC-DEL-01,2025-01-03 17:00,0.5,223,10.7,65.8
LOC-DEL-01,2025-01-03 18:00,8.3,205,9.6,63.8
LOC-DEL-01,2025-01-03 19:00,6.6,205,7.3,74.5
LOC-DEL-01,2025-01-03 20:00,0.8,290,7.7,77.6
LOC-DEL-01,2025-01-03 21:00,2.3,252,4.6,77.6
LOC-DEL-01,2025-01-03 22:00,5.2,214,3.2,86.3
LOC-DEL-01,2025-01-03 23:00,1.9,296,5.5,74.7
LOC-DEL-01,2025-01-04 00:00,2.4,247,2.4,81.9
LOC-DEL-01,2025-01-04 01:00,4.5,238,2.0,88.7
LOC-DEL-01,2025-01-04 02:00,6.6,298,4.4,84.5
LOC-DEL-01,2025-01-04 03:00,7.9,297,3.1,77.8
LOC-DEL-01,2025-01-04 04:00,10.6,243,6.0,78.1
LOC-DEL-01,2025-01-04 05:00,9.1,319,8.8,72.9
LOC-DEL-01,2025-01-04 06:00,13.6,270,11.2,74.1
LOC-DEL-01,2025-01-04 07:00,12.9,264,13.1,64.6
LOC-DEL-01,2025-01-04 08:00,11.6,4,14.1,65.5
LOC-DEL-01,2025-01-04 09:00,16.1,305,14.1,53.3
LOC-DEL-01,2025-01-04 10:00,14.0,229,17.9,60.2
LOC-DEL-01,2025-01-04 11:00,15.7,263,17.8,52.1
LOC-DEL-01,2025-01-04 12:00,14.0,244,16.8,53.4
LOC-DEL-01,2025-01-04 13:00,12.7,247,16.5,56.7
LOC-DEL-01,2025-01-04 14:00,8.1,206,16.2,58.2
LOC-DEL-01,2025-01-04 15:00,10.2,336,14.6,58.3
LOC-DEL-01,2025-01-04 16:00,8.0,224,15.3,61.7
LOC-DEL-01,2025-01-04 17:00,7.1,232,12.0,64.7
LOC-DEL-01,2025-01-04 18:00,4.8,288,10.8,77.7
LOC-DEL-01,2025-01-04 19:00,4.2,270,9.0,71.9
LOC-DEL-01,2025-01-04 20:00,2.9,292,6.1,73.6
LOC-DEL-01,2025-01-04 21:00,6.5,235,6.5,85.4
LOC-DEL-01,2025-01-04 22:00,6.4,233,4.4,83.9
LOC-DEL-01,2025-01-04 23:00,0.5,246,2.0,81.5
LOC-DEL-01,2025-01-05 00:00,3.5,354,2.0,85.8
LOC-DEL-01,2025-01-05 01:00,2.0,292,3.7,81.6
LOC-DEL-01,2025-01-05 02:00,7.4,248,2.0,92.1
LOC-DEL-01,2025-01-05 03:00,6.2,325,2.0,87.4
LOC-DEL-01,2025-01-05 04:00,8.0,272,3.6,74.5
LOC-DEL-01,2025-01-05 05:00,7.4,263,7.3,77.0
LOC-DEL-01,2025-01-05 06:00,12.4,219,10.2,72.6
LOC-DEL-01,2025-01-05 07:00,12.9,236,9.8,72.5
LOC-DEL-01,2025-01-05 08:00,15.6,273,16.3,63.1
LOC-DEL-01,2025-01-05 09:00,13.3,313,18.7,68.2
LOC-DEL-01,2025-01-05 10:00,12.1,300,17.9,63.9
LOC-DEL-01,2025-01-05 11:00,11.4,178,19.3,46.7
LOC-DEL-01,2025-01-05 12:00,16.2,273,17.6,58.6
LOC-DEL-01,2025-01-05 13:00,8.8,267,20.2,48.6
LOC-DEL-01,2025-01-05 14:00,6.9,265,17.5,56.8
LOC-DEL-01,2025-01-05 15:00,10.3,227,13.7,62.7
LOC-DEL-01,2025-01-05 16:00,7.9,312,13.2,57.2
LOC-DEL-01,2025-01-05 17:00,5.4,234,10.6,68.6
LOC-DEL-01,2025-01-05 18:00,3.9,216,9.8,64.8
LOC-DEL-01,2025-01-05 19:00,2.4,279,10.9,74.1
LOC-DEL-01,2025-01-05 20:00,4.0,304,5.8,76.4
LOC-DEL-01,2025-01-05 21:00,1.7,166,3.5,77.7
LOC-DEL-01,2025-01-05 22:00,5.3,258,2.0,89.8
LOC-DEL-01,2025-01-05 23:00,8.4,320,3.1,86.0
LOC-DEL-01,2025-01-06 00:00,0.5,279,2.0,80.2
LOC-DEL-01,2025-01-06 01:00,2.5,221,2.0,77.4
LOC-DEL-01,2025-01-06 02:00,5.0,336,5.6,87.4
LOC-DEL-01,2025-01-06 03:00,9.5,294,4.5,76.3
LOC-DEL-01,2025-01-06 04:00,6.2,207,4.4,76.5
LOC-DEL-01,2025-01-06 05:00,6.8,295,9.3,83.4
LOC-DEL-01,2025-01-06 06:00,9.8,231,9.0,67.6
LOC-DEL-01,2025-01-06 07:00,12.8,267,12.1,62.0
LOC-DEL-01,2025-01-06 08:00,12.0,303,13.6,58.0
LOC-DEL-01,2025-01-06 09:00,14.0,303,16.4,54.5
LOC-DEL-01,2025-01-06 10:00,12.7,295,14.4,59.7
LOC-DEL-01,2025-01-06 11:00,10.5,272,16.6,46.5
LOC-DEL-01,2025-01-06 12:00,14.5,195,18.4,50.5
LOC-DEL-01,2025-01-06 13:00,10.9,272,17.6,49.5
LOC-DEL-01,2025-01-06 14:00,13.0,244,15.6,55.1
LOC-DEL-01,2025-01-06 15:00,10.6,334,16.9,53.7
LOC-DEL-01,2025-01-06 16:00,9.2,260,10.3,58.5
LOC-DEL-01,2025-01-06 17:00,6.6,262,12.6,63.1
LOC-DEL-01,2025-01-06 18:00,5.7,251,11.8,71.3
LOC-DEL-01,2025-01-06 19:00,4.5,251,7.2,71.7
LOC-DEL-01,2025-01-06 20:00,4.5,255,6.4,87.9
LOC-DEL-01,2025-01-06 21:00,0.5,224,6.1,78.6
LOC-DEL-01,2025-01-06 22:00,2.0,345,2.0,81.2
LOC-DEL-01,2025-01-06 23:00,3.9,170,2.8,83.4
LOC-DEL-01,2025-01-07 00:00,0.5,321,2.4,88.9
LOC-DEL-01,2025-01-07 01:00,5.0,12,2.8,82.4
LOC-DEL-01,2025-01-07 02:00,4.1,231,3.3,84.2
LOC-DEL-01,2025-01-07 03:00,6.6,248,5.6,76.3
LOC-DEL-01,2025-01-07 04:00,10.1,247,6.7,79.2
LOC-DEL-01,2025-01-07 05:00,8.7,286,7.5,69.0
LOC-DEL-01,2025-01-07 06:00,12.7,331,11.1,65.4
LOC-DEL-01,2025-01-07 07:00,10.7,213,12.7,75.5
LOC-DEL-01,2025-01-07 08:00,14.5,267,11.3,70.0
